frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
1719,14.2533939,186.7743168,347.9556908,42.13213203,78.49106537,-9.457939978,0.22557776,-0.036551446,-0.005037233,-9.320335692,0.702780474,0.154322566,0.719524738,4.503694006
1720,14.2662711,186.8017526,347.9502874,42.13832094,78.4898465,-9.461448835,0.22557776,-0.030362538,-0.003818357,-9.170292724,0.472569491,0.097842511,0.482592044,9.152617117
1721,14.2707591,186.8111521,347.9487077,42.14044127,78.48949015,-8.889219699,0.22557776,-0.02824221,-0.003462007,-9.025697949,0.433729707,0.083270725,0.441650849,13.22664081
1722,14.282113,186.8139941,347.9486103,42.14108235,78.48946818,-8.602459418,0.22557776,-0.027601123,-0.003440039,-8.882192812,0.229045447,0.034810982,0.231675682,11.22252967
1723,14.2856211,186.8158261,347.9486089,42.14149562,78.48946785,-8.717421815,0.22557776,-0.02718786,-0.003439711,-8.853491785,0.181774981,0.028223188,0.183952962,0.340774492
1724,14.2983102,186.8168334,347.948723,42.14172285,78.48949358,-8.740414295,0.22557776,-0.026960631,-0.003465444,-8.962337761,0.112728112,-0.036101814,0.118367935,-6.097691716
1725,14.3023053,186.8211593,347.94763,42.14269868,78.48924703,-9.317943699,0.22557776,-0.025984798,-0.003218887,-9.133156029,0.112208686,-0.038398882,0.118597063,-8.189131352
1726,14.3139234,186.8277111,347.9601054,42.14417661,78.49206121,-9.43344958,0.22557776,-0.024506868,-0.006033075,-9.132856792,-0.108199396,-0.058204708,0.122861293,-0.81282698
1727,14.3297444,186.8314891,347.9607753,42.14502884,78.49221231,-9.456550756,0.22557776,-0.023654638,-0.006184174,-9.098334054,-0.177283935,-0.063302582,0.188246675,3.788392687
1728,14.3332052,186.816389,347.9622931,42.14162259,78.49255471,-8.71592563,0.22557776,-0.02706089,-0.00652657,-8.942380434,-0.417444268,-0.090327789,0.42710517,21.47090635
1729,14.3456974,186.7982516,347.963817,42.1375312,78.49289846,-8.567800604,0.22557776,-0.031152276,-0.006870322,-8.762140638,-0.497124012,-0.045739481,0.499223781,22.04899048
1730,14.3497516,186.7810601,347.9651364,42.13365318,78.49319608,-8.538175599,0.22557776,-0.035030298,-0.007167945,-8.577043606,-0.647614916,-0.053024004,0.649781982,21.96090163
1731,14.3624461,186.7657988,347.9662215,42.13021057,78.49344087,-8.532250598,0.22557776,-0.038472911,-0.007412733,-8.5400242,-0.488033908,-0.035492466,0.489322808,12.97028132
1732,14.3666972,186.7526336,347.9670879,42.1272408,78.49363631,-8.531065598,0.22557776,-0.041442677,-0.007608169,-8.532620318,-0.542062184,-0.036315192,0.543277282,10.10162776
1733,14.3801858,186.7414917,347.9677623,42.12472743,78.49378843,-8.530828598,0.22557776,-0.04395605,-0.007760289,-8.531139542,-0.380035888,-0.023000803,0.380731287,0.971525781
1734,14.3836733,186.7322517,347.9682513,42.1226431,78.49389874,-8.530781198,0.22557776,-0.046040377,-0.007870602,-8.530843387,-0.407123302,-0.02221346,0.407728857,0.389006422
1735,14.3952548,186.7247347,347.9686024,42.12094742,78.49397795,-8.530771718,0.22557776,-0.047736056,-0.007949811,-8.530784156,-0.283247389,-0.01344981,0.283566537,-2.238462336
1736,14.3985638,186.7187699,347.9688276,42.11960189,78.49402873,-8.530769822,0.22557776,-0.049081583,-0.008000592,-8.53077231,-0.281691021,-0.011522086,0.281926568,-3.647286294
1737,14.411643,186.7141773,347.9689525,42.11856592,78.49405692,-8.530769443,0.22557776,-0.05011756,-0.008028776,-8.679819013,-0.146828145,-0.055058526,0.156811815,-3.771024661
1738,14.4159418,186.7107747,347.9689837,42.11779836,78.49406396,-8.530769367,0.22557776,-0.050885117,-0.008035822,-8.709628353,-0.126253188,-0.07000316,0.144361732,-3.832001943
1739,14.4271111,186.7145704,347.9813283,42.11865457,78.49684862,-9.276014713,0.22557776,-0.050028903,-0.010820476,-8.715590221,-0.050104279,-0.062279943,0.07993266,-4.408865466
1740,14.4310887,186.7138027,347.9827665,42.1184814,78.49717304,-8.679818421,0.22557776,-0.05020208,-0.011144899,-8.716782595,-0.046926164,-0.04037133,0.061902416,5.117211899
1741,14.4431347,186.7124205,347.9815238,42.11816962,78.49689273,-8.560579163,0.22557776,-0.050513853,-0.01086459,-8.75148396,0.020861015,-0.029689802,0.036285897,6.818288722
1742,14.4470566,186.7113197,347.9796568,42.1179213,78.49647156,-8.536731311,0.22557776,-0.050762178,-0.010443424,-8.609375161,0.01361454,0.032381609,0.035127258,7.072188106
1743,14.4651476,186.7241823,347.975505,42.12082282,78.49553502,-8.704276194,0.22557776,-0.04786066,-0.009506879,-8.580953401,0.014504509,0.058222302,0.06000181,7.165008131
1744,14.4728738,186.7255669,347.9734142,42.12113515,78.49506338,-8.565470717,0.22557776,-0.047548325,-0.009035242,-8.575269049,0.004791704,0.064765101,0.064942118,7.750645589
1745,14.4797921,186.7243681,347.9719531,42.12086473,78.49473379,-8.537709622,0.22557776,-0.047818749,-0.008705647,-8.574132179,0.009940867,0.048553278,0.049560484,-2.950925988
1746,14.484584,186.7227867,347.9707638,42.12050799,78.49446552,-8.532157403,0.22557776,-0.048175486,-0.008437378,-8.573904805,0.092352458,0.066857955,0.114012994,-5.907444351
1747,14.4932103,186.7213499,347.969757,42.12018389,78.49423839,-8.531046959,0.22557776,-0.04849959,-0.008210256,-8.722908402,0.185827794,0.079837733,0.202252398,-7.221895952
1748,14.4980745,186.7336936,347.9666672,42.12296836,78.49354139,-8.703139323,0.22557776,-0.045715115,-0.007513255,-8.787172013,0.304094204,0.094715952,0.31850337,-10.11593779
1749,14.5061813,186.751943,347.962141,42.12708501,78.4925204,-9.310488705,0.22557776,-0.041598465,-0.006492262,-8.834487625,0.347300243,0.089388192,0.358619168,-10.3056692
1750,14.5117846,186.7656606,347.9591098,42.1301794,78.49183662,-8.859027673,0.22557776,-0.038504077,-0.00580848,-8.914647769,0.439023513,0.100832045,0.450453933,-3.171483443
1751,14.5295741,186.7768262,347.9567956,42.13269811,78.49131458,-8.768735466,0.22557776,-0.035985364,-0.005286446,-8.930679798,0.374848863,0.081864132,0.383683993,1.199940869
1752,14.5375013,186.7916225,347.9538595,42.13603582,78.49065228,-8.931847679,0.22557776,-0.032647658,-0.004624141,-8.784837131,0.235689109,0.051024347,0.241148999,3.346733404
1753,14.5448613,186.7998305,347.9522787,42.13788737,78.49029567,-8.783299467,0.22557776,-0.030796107,-0.004267532,-8.721205708,0.016907712,0.009190215,0.01924398,9.623936094
1754,14.5544968,186.7918003,347.9534856,42.13607593,78.49056793,-8.581275372,0.22557776,-0.03260755,-0.004539794,-8.674016532,-0.053476898,-0.003628759,0.053599874,10.64535983
1755,14.5591885,186.7805345,347.955298,42.13353461,78.49097676,-8.540870553,0.22557776,-0.035148871,-0.004948622,-8.593881676,-0.224875035,-0.035192593,0.22761217,7.347073432
1756,14.571193,186.7693409,347.9571472,42.13100959,78.49139391,-8.532789589,0.22557776,-0.037673883,-0.005365776,-8.543391814,-0.318459246,-0.052521564,0.322761222,5.660612473
1757,14.5764901,186.7591039,347.9588913,42.12870035,78.49178734,-8.531173396,0.22557776,-0.039983132,-0.005759196,-8.533293841,-0.371086968,-0.06323311,0.37643587,4.70160422
1758,14.5859598,186.7500215,347.9604946,42.12665156,78.49214901,-8.530850158,0.22557776,-0.042031918,-0.006120867,-8.531274247,-0.28809782,-0.050503667,0.292490981,1.286923433
1759,14.5899048,186.7421318,347.9619254,42.12487183,78.49247176,-8.53078551,0.22557776,-0.043811647,-0.006443623,-8.530870328,-0.320697673,-0.057979664,0.325896669,0.446688427
1760,14.6019113,186.7353872,347.9631757,42.1233504,78.49275381,-8.530772581,0.22557776,-0.045333078,-0.006725672,-8.530789544,-0.25006581,-0.046370361,0.254328763,0.065475129
1761,14.6053226,186.7297414,347.9642665,42.12207683,78.49299987,-8.530769995,0.22557776,-0.046606646,-0.006971728,-8.530773387,-0.259163091,-0.049267752,0.263804509,0.022861296
1762,14.6180245,186.7250799,347.9651801,42.12102528,78.49320595,-8.530769477,0.22557776,-0.047658193,-0.007177808,-8.530770156,-0.179564934,-0.035067743,0.182957132,0.002385849
1763,14.6212567,186.7213281,347.9659349,42.12017897,78.49337622,-8.530769374,0.22557776,-0.048504506,-0.007348078,-8.53076951,-0.178470699,-0.035718526,0.1820099,0.001041424
1764,14.6337872,186.718376,347.9665356,42.11951304,78.49351172,-8.530769353,0.22557776,-0.049170435,-0.007483581,-8.53076938,-0.109511953,-0.022602408,0.111820108,9.43E-05
1765,14.6379495,186.7161388,347.9670291,42.11900838,78.49362304,-8.530769349,0.22557776,-0.049675097,-0.007594903,-8.530769355,-0.106645154,-0.023065484,0.109110978,4.34E-05
